#,Código,Endereço,Bairro,Latitude,Longitude,Foto,Croqui
1,AHU-001,"Rua Campos Sales, 1085 - Ahú",Ahú,"-25,411224","-49,258215",Ver foto,ver croqui
2,AHU-002,"Rua Emílio Cornelsen, 71 - Ahú",Ahú,"-25,409712","-49,259915",Ver foto,ver croqui
3,AHU-003,"Avenida Anita Garibaldi, 391 - Ahú",Ahú,"-25,408754","-49,256766",Ver foto,ver croqui
4,AHU-004,"Avenida Anita Garibaldi, 453 - Ahú",Ahú,"-25,407862","-49,256615",Ver foto,ver croqui
5,AHU-005,"Rua Emílio Cornelsen, 344 - Ahú",Ahú,"-25,40764","-49,259512",Ver foto,ver croqui
6,AHU-006,"Rua Francisco de Paula Guimarães, 753 - Ahú",Ahú,"-25,406961","-49,259405",Ver foto,ver croqui
7,AHU-007,"Rua Emílio Cornelsen, 448 - Ahú",Ahú,"-25,406922","-49,259051",Ver foto,ver croqui
8,AHU-008,"Rua Santa Rita de Cássia, 35 - Ahú",Ahú,"-25,406569","-49,259212",Ver foto,ver croqui
9,AHU-009,"Rua São Sebastião, 217 - Ahú",Ahú,"-25,405794","-49,259062",Ver foto,ver croqui
10,ALT-001,"Avenida João Gualberto, 621 - Alto da Glória",Alto da Glória,"-25,420656","-49,265985",Ver foto,ver croqui
11,ALT-002,"Avenida João Gualberto, 752 - Alto da Glória",Alto da Glória,"-25,420197","-49,26515",Ver foto,ver croqui
12,ALT-003,"Rua Conselheiro Araújo, 475 - Alto da Glória",Alto da Glória,"-25,4247238","-49,2599064",Ver foto,ver croqui
13,ALT-004,"Rua Riachuelo, 347 - Centro",Alto da Glória,"-25,427151","-49,269524",Ver foto,ver croqui
14,ALT-005,"Rua Padre Camargo, 565 - Alto da Glória",Alto da Glória,"-25,4251197","-49,2608829",Ver foto,ver croqui
15,ALT-006,"Rua Mauá, 838 - Alto da Glória",Alto da Glória,"-25,417808","-49,262819",Ver foto,ver croqui
16,ALT-007,"Rua General Carneiro, 306 - Centro",Alto da Glória,"-25,425527","-49,262069",Ver foto,ver croqui
17,ALT-008,"Rua Augusto Severo, 380 - Alto da Glória",Alto da Glória,"-25,418665","-49,259476",Ver foto,ver croqui
18,ALT-009,"Rua Nicolau Maeder, 323 - Alto da Glória",Alto da Glória,"-25,417167","-49,261314",Ver foto,ver croqui
19,ALT-010,"Rua Doutor Zamenhof, 238 - Alto da Glória",Alto da Glória,"-25,417775","-49,260736",Ver foto,ver croqui
20,ALT-011,"Rua Nicolau Maeder, 184 - Alto da Glória",Alto da Glória,"-25,417772","-49,261684",Ver foto,ver croqui
21,ALT-012,"Rua Barão de Guaraúna, 301 - Juvevê",Alto da Glória,"-25,417272","-49,258912",Ver foto,ver croqui
22,ALT-013,"Rua Comendador Fontana, 153 - Centro Cívico",Alto da Glória,"-25,419043","-49,26727",Ver foto,ver croqui
23,ALT-014,"Avenida Visconde de Guarapuava, 1613 - Centro",Alto da Glória,"-25,432849","-49,258337",Ver foto,ver croqui
24,ALT-015,Avenida Sete de Setembro - Jardim Botânico,Alto da Glória,"-25,433939","-49,25674",Ver foto,ver croqui
25,ALT-016,"Rua General Carneiro, 181 - Alto da Glória",Alto da Glória,"-25,424757","-49,262311",Ver foto,ver croqui
26,ALT-017,"Rua General Carneiro, 881 - Centro",Alto da Glória,"-25,429697","-49,259861",Ver foto,ver croqui
27,ALT-020,Rua Ivo Leão - Alto da Glória,Alto da Glória,"-25,418827","-49,263726",Ver foto,ver croqui
28,ALT-021,"Avenida João Gualberto, 1073 - Alto da Glória",Alto da Glória,"-25,417549","-49,262986",Ver foto,ver croqui
29,ALT-022,"Rua Mauá, 811 - Alto da Glória",Alto da Glória,"-25,418135","-49,262218",Ver foto,ver croqui
30,ALT-023,"Rua Mauá, 751 - Alto da Glória",Alto da Glória,"-25,418307","-49,262172",Ver foto,ver croqui
31,ALT-024,"Rua Rocha Pombo, 459 - Juvevê",Alto da Glória,"-25,414349","-49,258729",Ver foto,ver croqui
32,ALT-051,"Rua Conselheiro Araújo, 475 - Alto da Glória",Alto da XV,"-25,424851","-49,259893",Ver foto,ver croqui
33,ALT-058,"Rua Nilo Cairo, 600 - Centro",Alto da XV,"-25,430978","-49,259342",Ver foto,ver croqui
34,ALT-059,"Rua General Carneiro, 35 - Alto da Glória",Alto da Glória,"-25,42284","-49,263259",Ver foto,ver croqui
35,ALT-060,"Rua Doutor Faivre, 18 - Centro",Alto da Glória,"-25,423595","-49,264131",Ver foto,ver croqui
36,ALT-061,"Avenida João Gualberto, 1073 - Alto da Glória",Alto da Glória,"-25,417403","-49,262908",Ver foto,ver croqui
37,ALT-062,"Avenida João Gualberto, 970 - Alto da Glória",Alto da Glória,"-25,41847","-49,263476",Ver foto,ver croqui
38,ALT-063,"Avenida Visconde de Guarapuava, 1694 - Centro",Alto da Glória,"-25,432718","-49,25862",Ver foto,ver croqui
39,ALT-064,"Rua Lysímaco Ferreira da Costa, 151 - Centro Cívico",Alto da Glória,"-25,417854","-49,267356",Ver foto,ver croqui
40,ALT-065,"Rua Campos Sales, 110 - Alto da Glória",Alto da Glória,"-25,417423","-49,263688",Ver foto,ver croqui
41,ALT-066,"Rua Campos Sales, 200 - Alto da Glória",Alto da Glória,"-25,416725","-49,263137",Ver foto,ver croqui
42,ALT-067,"Rua Doutor Faivre, 1180 - Centro",Alto da Glória,"-25,433266","-49,259234",Ver foto,ver croqui
43,ALT-068,"Avenida Visconde de Guarapuava, 1766 - Centro",Alto da Glória,"-25,432944","-49,259182",Ver foto,ver croqui
44,ALT-069,"Rua Euzébio da Motta, 221 - Alto da Glória",Alto da Glória,"-25,416006","-49,263848",Ver foto,ver croqui
45,ALT-070,"Rua Ivo Leão, 390 - Alto da Glória",Alto da Glória,"-25,418484","-49,263964",Ver foto,ver croqui
46,ALT-071,"Rua Conselheiro Araújo, 193 - Centro",Alto da Glória,"-25,42569","-49,262355",Ver foto,ver croqui
47,ALT-072,"Rua Padre Camargo, 481 - Alto da Glória",Alto da Glória,"-25,424474","-49,261198",Ver foto,ver croqui
48,ALT-073,"Rua Ubaldino do Amaral, 321 - Alto da Glória",Alto da Glória,"-25,423723","-49,260179",Ver foto,ver croqui
49,ALT-074,"Rua Floriano Essenfelder, 33 - Alto da Glória",Alto da Glória,"-25,423266","-49,26033",Ver foto,ver croqui
50,ALT-075,"Rua Carlos Eduardo Leão, 59 - Alto da Glória",Alto da Glória,"-25,423018","-49,265231",Ver foto,ver croqui
51,ALT-076,"Rua Ubaldino do Amaral, 167 - Alto da Glória",Alto da Glória,"-25,422629","-49,260688",Ver foto,ver croqui
52,ALT-077,"Rua Gottlieb Mueller, 50 - Alto da Glória",Alto da Glória,"-25,422369","-49,263922",Ver foto,ver croqui
53,ALT-078,"Rua Carlos Eduardo Leão, 99 - Alto da Glória",Alto da Glória,"-25,422059","-49,264662",Ver foto,ver croqui
54,ALT-079,"Rua Ubaldino do Amaral, 135 - Alto da Glória",Alto da Glória,"-25,422041","-49,260958",Ver foto,ver croqui
55,ALT-080,"Rua Padre Camargo, 135 - Alto da Glória",Alto da Glória,"-25,421604","-49,263203",Ver foto,ver croqui
56,ALT-081,Rua Amâncio Moro - Alto da Glória,Alto da Glória,"-25,421437","-49,261225",Ver foto,ver croqui
57,ALT-082,"Rua Padre Camargo, 66 - Alto da Glória",Alto da Glória,"-25,421216","-49,264147",Ver foto,ver croqui
58,ALT-083,"Rua Gottlieb Mueller, 170 - Alto da Glória",Alto da Glória,"-25,420888","-49,262856",Ver foto,ver croqui
59,ALT-084,"Rua Carlos Eduardo Leão, 255 - Alto da Glória",Alto da Glória,"-25,420626","-49,263886",Ver foto,ver croqui
60,ALT-085,"Rua Amâncio Moro, 165 - Alto da Glória",Alto da Glória,"-25,420229","-49,260384",Ver foto,ver croqui
61,ALT-086,"Rua Mauá, 456 - Alto da Glória",Alto da Glória,"-25,420069","-49,259632",Ver foto,ver croqui
62,ALT-087,Rua Amâncio Moro - Alto da Glória,Alto da Glória,"-25,419909","-49,260046",Ver foto,ver croqui
63,ALT-088,Rua Barão de Guaraúna - Alto da Glória,Alto da Glória,"-25,419875","-49,259879",Ver foto,ver croqui
64,ALT-089,"Rua Ivo Leão, 170 - Alto da Glória",Alto da Glória,"-25,419821","-49,262109",Ver foto,ver croqui
65,ALT-090,"Rua Doutor Zamenhof, 82 - Alto da Glória",Alto da Glória,"-25,419439","-49,261451",Ver foto,ver croqui
66,ALT-091,"Rua Nicolau Maeder, 10 - Alto da Glória",Alto da Glória,"-25,419236","-49,262985",Ver foto,ver croqui
67,ALT-092,"Rua Augusto Severo, 1157 - Alto da Glória",Alto da Glória,"-25,414306","-49,265371",Ver foto,ver croqui
68,ARX-001,"Avenida Visconde de Guarapuava, 1482 - Alto da Rua XV",Alto da Rua XV,"-25,431919","-49,25612",Ver foto,ver croqui
69,ARX-002,Rua Sete de Abril - Alto da Rua XV,Alto da Rua XV,"-25,430495","-49,256496",Ver foto,ver croqui
70,ARX-003,"Avenida Senador Souza Naves, 61 - Alto da Rua XV",Alto da Rua XV,"-25,430455","-49,257464",Ver foto,ver croqui
71,ARX-004,Rua Reinaldino Schaffenberg Quadros - Alto da Rua XV,Alto da Rua XV,"-25,429303","-49,257129",Ver foto,ver croqui
72,BAT-001,"Avenida Vicente Machado, 632 - Centro",Batel,"-25,435491","-49,282654",Ver foto,ver croqui
73,BAT-002,"Rua Coronel Dulcídio, 517 - Batel",Batel,"-25,438131","-49,284113",Ver foto,ver croqui
74,BAT-003,"Alameda Dom Pedro II, 454 - Batel",Batel,"-25,439288","-49,285332",Ver foto,ver croqui
75,BAT-004,"Rua Desembargador Costa Carvalho, 638 - Batel",Batel,"-25,438894","-49,294559",Ver foto,ver croqui
76,BAT-005,"Rua Júlia Wanderley, 576 - Mercês",Batel,"-25,424468","-49,290573",Ver foto,ver croqui
77,BAT-006,"Avenida do Batel, 1566 - Batel",Batel,"-25,442666","-49,288222",Ver foto,ver croqui
78,BAT-007,"Avenida do Batel, 1636 - Batel",Batel,"-25,442867","-49,288881",Ver foto,ver croqui
79,BAT-008,"Avenida do Batel, 1868 - Batel",Batel,"-25,443382","-49,289991",Ver foto,ver croqui
80,BAT-009,"Avenida do Batel, 1868 - Batel",Batel,"-25,443794","-49,290968",Ver foto,ver croqui
81,BAT-010,"Avenida Sete de Setembro, 5236 - Batel",Batel,"-25,445814","-49,288376",Ver foto,ver croqui
82,BAT-011,"Rua Odin Ferreira do Amaral, 86 - Batel",Batel,"-25,448026","-49,293967",Ver foto,ver croqui
83,BAT-012,"Rua Dom Ático, 65 - Seminário",Batel,"-25,449672","-49,298321",Ver foto,ver croqui
84,BAT-013,"Rua Deputado Antônio Baby, 139 - Batel",Batel,"-25,446122","-49,292704",Ver foto,ver croqui
85,BAT-014,"Rua Emiliano Perneta, 924 - Batel",Batel,"-25,439051","-49,279603",Ver foto,ver croqui
86,BAT-015,"Rua Carmelo Rangel, 342 - Batel",Batel,"-25,44203","-49,29298",Ver foto,ver croqui
87,BAT-018,"Rua Gutemberg, 417 - Batel",Batel,"-25,439139","-49,28846",Ver foto,ver croqui
88,BAT-019,"Rua Carneiro Lobo, 730 - Batel",Batel,"-25,444413","-49,29176",Ver foto,ver croqui
89,BAT-021,"Rua Olavo Bilac, 272 - Batel",Batel,"-25,440897","-49,293383",Ver foto,ver croqui
90,BAT-022,"Rua Francisco Rocha, 1151 - Bigorrilho",Batel,"-25,436018","-49,292938",Ver foto,ver croqui
91,BAT-023,"Avenida Visconde de Guarapuava, 4998 - Batel",Batel,"-25,444456","-49,288445",Ver foto,ver croqui
92,BAT-024,"Rua Gutemberg, 585 - Batel",Batel,"-25,440096","-49,29046",Ver foto,ver croqui
93,BAT-025,"Rua Gonçalves Dias, 474 - Batel",Batel,"-25,447156","-49,295587",Ver foto,ver croqui
94,BAT-026,"Rua Alferes Ângelo Sampaio, 1862 - Batel",Batel,"-25,438173","-49,286548",Ver foto,ver croqui
95,BAT-027,"Rua Hermes Fontes, 242 - Batel",Batel,"-25,442795","-49,292311",Ver foto,ver croqui
96,BAT-028,Rua Hermes Fontes - Batel,Batel,"-25,442493","-49,291477",Ver foto,ver croqui
97,BAT-031,"Alameda Doutor Carlos de Carvalho, 2370 - Bigorrilho",Batel,"-25,439727","-49,296942",Ver foto,ver croqui
98,BAT-032,"Rua Bruno Filgueira, 1068 - Batel",Batel,"-25,440419","-49,292096",Ver foto,ver croqui
99,BAT-033,"Rua Olavo Bilac, 429 - Batel",Batel,"-25,441421","-49,294583",Ver foto,ver croqui
100,BAT-034,"Rua Olavo Bilac, 701 - Batel",Batel,"-25,442497","-49,297163",Ver foto,ver croqui
101,BAT-035,"Rua Padre Agostinho, 960 - Mercês",Batel,"-25,427532","-49,289182",Ver foto,ver croqui
102,BAT-037,"Avenida Vicente Machado, 792 - Batel",Batel,"-25,436152","-49,284351",Ver foto,ver croqui
103,BAT-038,"Avenida Vicente Machado, 957 - Batel",Batel,"-25,436838","-49,285716",Ver foto,ver croqui
104,BAT-039,"Avenida Visconde de Guarapuava, 5479 - Batel",Batel,"-25,446328","-49,292592",Ver foto,ver croqui
105,BAT-042,"Rua Carmelo Rangel, 161 - Batel",Batel,"-25,441387","-49,291679",Ver foto,ver croqui
106,BAT-043,"Rua Coronel Dulcídio, 2371 - Água Verde",Batel,"-25,453497","-49,276184",Ver foto,ver croqui
107,BAT-044,"Rua Coronel Dulcídio, 2317 - Água Verde",Batel,"-25,452939","-49,276447",Ver foto,ver croqui
108,BAT-045,"Avenida Vicente Machado, 878 - Batel",Batel,"-25,436687","-49,285445",Ver foto,ver croqui
109,BAT-046,"Rua Coronel Dulcídio, 379 - Batel",Batel,"-25,437338","-49,284886",Ver foto,ver croqui
110,BAT-047,"Rua Bruno Filgueira, 360 - Batel",Batel,"-25,446178","-49,289257",Ver foto,ver croqui
111,BAT-048,"Avenida Sete de Setembro, 5402 - Batel",Batel,"-25,446646","-49,290385",Ver foto,ver croqui
112,BAT-050,"Avenida Sete de Setembro, 5708 - Batel",Batel,"-25,447494","-49,292614",Ver foto,ver croqui
113,BAT-051,"Rua Bispo Dom José, 2181 - Batel",Batel,"-25,444855","-49,293557",Ver foto,ver croqui
114,BAT-052,"Rua Alferes Ângelo Sampaio, 1166 - Batel",Batel,"-25,442994","-49,282802",Ver foto,ver croqui
115,BAT-053,"Avenida do Batel, 1230 - Batel",Batel,"-25,441432","-49,28507",Ver foto,ver croqui
116,BAT-054,"Rua Alferes Ângelo Sampaio, 1177 - Batel",Batel,"-25,442747","-49,282948",Ver foto,ver croqui
117,BAT-055,"Avenida do Batel, 1398 - Batel",Batel,"-25,441874","-49,286582",Ver foto,ver croqui
118,BAT-056,"Rua Pasteur, 463 - Água Verde",Batel,"-25,443956","-49,279129",Ver foto,ver croqui
119,BAT-057,"Rua Buenos Aires, 205 - Batel",Batel,"-25,439526","-49,280069",Ver foto,ver croqui
120,BAT-058,"Avenida Visconde de Guarapuava, 3885 - Batel",Batel,"-25,440709","-49,278374",Ver foto,ver croqui
121,BAT-059,Avenida Sete de Setembro - Centro,Batel,"-25,441199","-49,276377",Ver foto,ver croqui
122,BAT-060,"Rua Bento Viana, 1200 - Batel",Batel,"-25,442904","-49,284452",Ver foto,ver croqui
123,BAT-061,"Avenida Visconde de Guarapuava, 4628 - Batel",Batel,"-25,443216","-49,28505",Ver foto,ver croqui
124,BAT-062,"Avenida Visconde de Guarapuava, 4716 - Batel",Batel,"-25,443622","-49,286192",Ver foto,ver croqui
125,BAT-063,"Rua Pasteur, 52 - Batel",Batel,"-25,439935","-49,280998",Ver foto,ver croqui
126,BAT-064,Rua Benjamin Lins - Batel,Batel,"-25,440748","-49,283306",Ver foto,ver croqui
127,BAT-065,"Rua Padre Ildefonso, 280 - Batel",Batel,"-25,445029","-49,286668",Ver foto,ver croqui
128,BAT-066,Avenida Sete de Setembro - Batel,Batel,"-25,445179","-49,286778",Ver foto,ver croqui
129,BAT-067,Avenida Sete de Setembro - Batel,Batel,"-25,445623","-49,288254",Ver foto,ver croqui
130,BAT-068,"Avenida Visconde de Guarapuava, 3885 - Batel",Batel,"-25,440871","-49,278729",Ver foto,ver croqui
131,BAT-069,"Avenida Visconde de Guarapuava, 4042 - Batel",Batel,"-25,440982","-49,279751",Ver foto,ver croqui
132,BAT-070,"Avenida Visconde de Guarapuava, 4086 - Batel",Batel,"-25,441255","-49,280341",Ver foto,ver croqui
133,BAT-072,"Avenida Visconde de Guarapuava, 4146 - Batel",Batel,"-25,441506","-49,280916",Ver foto,ver croqui
134,BAT-073,"Avenida Visconde de Guarapuava, 4177 - Batel",Batel,"-25,441919","-49,281394",Ver foto,ver croqui
135,BAT-074,"Avenida Visconde de Guarapuava, 4326 - Batel",Batel,"-25,44194","-49,282053",Ver foto,ver croqui
136,BAT-075,"Avenida Visconde de Guarapuava, 4358 - Batel",Batel,"-25,442253","-49,282881",Ver foto,ver croqui
137,BAT-077,"Avenida Visconde de Guarapuava, 4414 - Batel",Batel,"-25,44241","-49,283235",Ver foto,ver croqui
138,BAT-078,"Avenida Visconde de Guarapuava, 5233 - Batel",Batel,"-25,445641","-49,29074",Ver foto,ver croqui
139,BAT-079,"Avenida Visconde de Guarapuava, 3936 - Batel",Batel,"-25,440648","-49,278848",Ver foto,ver croqui
140,BAT-080,Rua Benjamin Lins - Batel,Batel,"-25,440784","-49,283649",Ver foto,ver croqui
141,BAT-081,"Rua Coronel Dulcídio, 1113 - Batel",Batel,"-25,442995","-49,281034",Ver foto,ver croqui
142,BAT-082,"Avenida Sete de Setembro, 4155 - Água Verde",Batel,"-25,44256","-49,279093",Ver foto,ver croqui
143,BAT-083,"Rua Silveira Peixoto, 1025 - Batel",Batel,"-25,444588","-49,285583",Ver foto,ver croqui
144,BAT-084,"Rua Pasteur, 300 - Batel",Batel,"-25,442466","-49,279989",Ver foto,ver croqui
145,BAT-085,"Avenida Sete de Setembro, 4115 - Água Verde",Batel,"-25,442312","-49,278499",Ver foto,ver croqui
146,BAT-086,Avenida Sete de Setembro - Centro,Batel,"-25,441048","-49,276453",Ver foto,ver croqui
147,BAT-087,"Alameda Presidente Taunay, 444 - Batel",Batel,"-25,435497","-49,285227",Ver foto,ver croqui
148,BAT-088,"Avenida Sete de Setembro, 5082 - Batel",Batel,"-25,445473","-49,287487",Ver foto,ver croqui
149,BAT-089,"Rua Bento Viana, 1078 - Batel",Batel,"-25,444159","-49,28448",Ver foto,ver croqui
150,BAT-090,"Rua Coronel Dulcídio, 880 - Batel",Batel,"-25,440688","-49,282727",Ver foto,ver croqui
151,BAT-091,"Rua Carmelo Rangel, 770 - Seminário",Batel,"-25,443526","-49,29697",Ver foto,ver croqui
152,BAT-092,Rua Jerônimo Durski - Seminário,Batel,"-25,444148","-49,296334",Ver foto,ver croqui
153,BAT-093,"Avenida Sete de Setembro, 4538 - Batel",Batel,"-25,443528","-49,282443",Ver foto,ver croqui
154,BAT-094,Canaleta Exclusiva BRT - Água Verde,Batel,"-25,445493","-49,28678",Ver foto,ver croqui
155,BAT-095,"Rua Bispo Dom José, 2348 - Batel",Batel,"-25,445453","-49,295224",Ver foto,ver croqui
156,BAT-096,"Rua Bispo Dom José, 2323 - Batel",Batel,"-25,445516","-49,29494",Ver foto,ver croqui
157,BAT-097,"Rua Brigadeiro Franco, 2300 - Centro",Batel,"-25,44104","-49,276744",Ver foto,ver croqui
158,BAT-098,"Avenida Visconde de Guarapuava, 3824 - Centro",Batel,"-25,44029","-49,27781",Ver foto,ver croqui
159,BAT-099,"Rua Desembargador Motta, 1499 - Batel",Batel,"-25,440816","-49,278272",Ver foto,ver croqui
160,BAT-100,"Rua Desembargador Motta, 1499 - Batel",Batel,"-25,441685","-49,277746",Ver foto,ver croqui
161,BAT-101,"Rua Desembargador Motta, 1648 - Centro",Batel,"-25,439411","-49,278798",Ver foto,ver croqui
162,BAT-102,"Rua Fernando Simas, 1239 - Mercês",Batel,"-25,425356","-49,291865",Ver foto,ver croqui
163,BAT-103,"Rua Francisco Rocha, 1221 - Bigorrilho",Batel,"-25,435429","-49,293268",Ver foto,ver croqui
164,BAT-104,"Rua Desembargador Isaías Beviláqua, 840 - Mercês",Batel,"-25,425966","-49,290117",Ver foto,ver croqui
165,BAT-105,"Rua Desembargador Isaías Beviláqua, 947 - Mercês",Batel,"-25,426468","-49,291087",Ver foto,ver croqui
166,BAT-106,"Avenida Visconde de Guarapuava, 5532 - Batel",Batel,"-25,446864","-49,294373",Ver foto,ver croqui
167,BAT-107,Rua Carneiro Lobo - Batel,Batel,"-25,445372","-49,290995",Ver foto,ver croqui
168,BAT-108,"Rua Bruno Filgueira, 490 - Batel",Batel,"-25,444897","-49,289793",Ver foto,ver croqui
169,BAT-109,"Avenida Visconde de Guarapuava, 4921 - Batel",Batel,"-25,444539","-49,287969",Ver foto,ver croqui
170,BAT-110,Rua Bento Viana - Batel,Batel,"-25,444355","-49,284595",Ver foto,ver croqui
171,BAT-111,"Rua Josefina Rocha, 22 - Batel",Batel,"-25,444252","-49,296",Ver foto,ver croqui
172,BAT-112,"Rua Padre Ildefonso, 230 - Batel",Batel,"-25,44419","-49,287052",Ver foto,ver croqui
173,BAT-113,"Rua Francisco Rocha, 198 - Batel",Batel,"-25,444028","-49,288283",Ver foto,ver croqui
174,BAT-114,"Avenida Visconde de Guarapuava, 4872 - Batel",Batel,"-25,443956","-49,287296",Ver foto,ver croqui
175,BAT-115,"Rua Silveira Peixoto, 1077 - Batel",Batel,"-25,443759","-49,285952",Ver foto,ver croqui
176,BAT-116,"Avenida Visconde de Guarapuava, 4545 - Batel",Batel,"-25,443333","-49,284804",Ver foto,ver croqui
177,BAT-117,"Rua Silveira Peixoto, 1273 - Batel",Batel,"-25,442793","-49,286457",Ver foto,ver croqui
178,BAT-118,"Alameda Dom Pedro II, 919 - Batel",Batel,"-25,441797","-49,289786",Ver foto,ver croqui
179,BAT-119,"Rua Teixeira Coelho, 182 - Batel",Batel,"-25,44045","-49,286729",Ver foto,ver croqui
180,BAT-120,"Rua Desembargador Costa Carvalho, 557 - Batel",Batel,"-25,439936","-49,294024",Ver foto,ver croqui
181,BAT-121,"Rua Comendador Araújo, 862 - Batel",Batel,"-25,439368","-49,282629",Ver foto,ver croqui
182,BAT-122,Rua Bruno Filgueira - Batel,Batel,"-25,439026","-49,29131",Ver foto,ver croqui
183,BAT-123,"Rua Comendador Araújo, 748 - Batel",Batel,"-25,438447","-49,281943",Ver foto,ver croqui
184,BAT-124,"Rua Bruno Filgueira, 1293 - Batel",Batel,"-25,438444","-49,29337",Ver foto,ver croqui
185,BAT-125,"Avenida Vicente Machado, 1310 - Batel",Batel,"-25,437995","-49,289164",Ver foto,ver croqui
186,BAT-126,"Alameda Doutor Carlos de Carvalho, 1825 - Batel",Batel,"-25,437853","-49,291943",Ver foto,ver croqui
187,BAT-127,"Alameda Presidente Taunay, 90 - Batel",Batel,"-25,437477","-49,283031",Ver foto,ver croqui
188,BAT-128,"Alameda Dom Pedro II, 21 - Batel",Batel,"-25,43644","-49,282001",Ver foto,ver croqui
189,BIG-001,"Rua Euclides da Cunha, 921 - Bigorrilho",Bigorrilho,"-25,43701","-49,296912",Ver foto,ver croqui
190,BIG-002,"Rua Desembargador Otávio do Amaral, 245 - Bigorrilho",Bigorrilho,"-25,434846","-49,292391",Ver foto,ver croqui
191,BIG-003,"Rua General Aristides Athaýde Júnior, 140 - Bigorrilho",Bigorrilho,"-25,436284","-49,29556",Ver foto,ver croqui
192,BIG-005,"Alameda Princesa Izabel, 2890 - Bigorrilho",Bigorrilho,"-25,437789","-49,302634",Ver foto,ver croqui
193,BIG-006,"Alameda Princesa Izabel, 782 - Centro",Bigorrilho,"-25,430908","-49,285118",Ver foto,ver croqui
194,BIG-007,"Rua Saldanha Marinho, 2222 - Bigorrilho",Bigorrilho,"-25,436568","-49,292499",Ver foto,ver croqui
195,BIG-008,"Rua Doutor Aluízio França, 765 - Bigorrilho",Bigorrilho,"-25,426738","-49,305383",Ver foto,ver croqui
196,BIG-009,Rua Doutor Aluízio França - Bigorrilho,Bigorrilho,"-25,424648","-49,306314",Ver foto,ver croqui
197,BIG-010,"Rua Marechal José Bernardino Bormann, 755 - Bigorrilho",Bigorrilho,"-25,438655","-49,297306",Ver foto,ver croqui
198,BIG-011,"Rua Capitão Souza Franco, 965 - Bigorrilho",Bigorrilho,"-25,430144","-49,293356",Ver foto,ver croqui
199,BIG-012,"Rua Saldanha Marinho, 2630 - Bigorrilho",Bigorrilho,"-25,437609","-49,294908",Ver foto,ver croqui
200,BIG-013,"Rua Pedro Nolasko Pizzatto, 304 - Mercês",Bigorrilho,"-25,42402","-49,297377",Ver foto,ver croqui
201,BIG-014,"Rua Dona Alice Tibiriçá, 307 - Bigorrilho",Bigorrilho,"-25,437107","-49,300823",Ver foto,ver croqui
202,BIG-015,"Rua Noel Rosa, 76 - Bigorrilho",Bigorrilho,"-25,426321","-49,300503",Ver foto,ver croqui
203,BIG-016,"Avenida Vicente Machado, 1997 - Batel",Bigorrilho,"-25,440536","-49,295188",Ver foto,ver croqui
204,BIG-017,"Rua Fernando Simas, 619 - Bigorrilho",Bigorrilho,"-25,430295","-49,28935",Ver foto,ver croqui
205,BIG-019,"Rua Gastão Câmara, 280 - Bigorrilho",Bigorrilho,"-25,436758","-49,302089",Ver foto,ver croqui
206,BIG-021,"Rua José Domakoski, 58 - Bigorrilho",Bigorrilho,"-25,437225","-49,297768",Ver foto,ver croqui
207,BIG-026,"Rua Martim Afonso, 951 - Bigorrilho",Bigorrilho,"-25,429267","-49,286602",Ver foto,ver croqui
208,BIG-028,"Rua Padre Agostinho, 1477 - Mercês",Bigorrilho,"-25,42941","-49,293948",Ver foto,ver croqui
209,BIG-029,Canaleta Exclusiva BRT - Bigorrilho,Bigorrilho,"-25,434489","-49,303073",Ver foto,ver croqui
210,BIG-030,"Rua Padre Anchieta, 2618 - Bigorrilho",Bigorrilho,"-25,434872","-49,304103",Ver foto,ver croqui
211,BIG-031,"Rua Saldanha Marinho, 1577 - Bigorrilho",Bigorrilho,"-25,434208","-49,286172",Ver foto,ver croqui
212,BIG-033,"Rua Bruno Filgueira, 235 - Água Verde",Bigorrilho,"-25,44747","-49,288799",Ver foto,ver croqui
213,BIG-034,"Avenida Vicente Machado, 1720 - Batel",Bigorrilho,"-25,439541","-49,292727",Ver foto,ver croqui
214,BIG-035,"Rua Saldanha Marinho, 2420 - Bigorrilho",Bigorrilho,"-25,437091","-49,293872",Ver foto,ver croqui
215,BIG-036,"Alameda Augusto Stellfeld, 2190 - Bigorrilho",Bigorrilho,"-25,435835","-49,294674",Ver foto,ver croqui
216,BIG-037,"Rua Coronel Joaquim Ignácio Taborda Ribas, 591 - Bigorrilho",Bigorrilho,"-25,434847","-49,300493",Ver foto,ver croqui
217,BIG-038,Rua Doutor Aluízio França - Bigorrilho,Bigorrilho,"-25,424058","-49,306153",Ver foto,ver croqui
218,BIG-039,"Rua General Aristides Athaýde Júnior, 54 - Bigorrilho",Bigorrilho,"-25,437281","-49,295207",Ver foto,ver croqui
219,BIG-042,Rua Doutor Aluízio França - Bigorrilho,Bigorrilho,"-25,423335","-49,306452",Ver foto,ver croqui
220,BIG-043,Alameda Ecológica Burle Marx - Santo Inácio,Bigorrilho,"-25,426903","-49,311797",Ver foto,ver croqui
221,BIG-044,Alameda Ecológica Burle Marx - Santo Inácio,Bigorrilho,"-25,430582","-49,313847",Ver foto,ver croqui
222,BIG-045,"Rua Doutor Aluízio França, 1405 - Bigorrilho",Bigorrilho,"-25,430701","-49,307992",Ver foto,ver croqui
223,BIG-046,"Rua Fernando Simas, 198 - Bigorrilho",Bigorrilho,"-25,434044","-49,287649",Ver foto,ver croqui
